disease_name,severity,medications,safety_tips,precautions,risk_level
Celiac Disease,Moderate,ORS; Ibuprofen,Avoid crowded places; Carry prescribed medicines; Take adequate rest; Avoid extreme temperatures,Use mosquito repellent; Follow medication schedule; Carry emergency kit,Moderate
Gallstones,Moderate,ORS; Ibuprofen,Monitor symptoms regularly; Carry prescribed medicines; Avoid crowded places; Maintain hygiene,Carry emergency kit; Use mosquito repellent; Follow medication schedule,Critical
Deep Vein Thrombosis,Low,Bronchodilator; Ibuprofen,Take adequate rest; Carry prescribed medicines; Maintain hygiene; Monitor symptoms regularly,Avoid heavy physical activity; Consult doctor before travel; Follow medication schedule,Critical
Typhoid,High,Paracetamol; Ibuprofen,Carry prescribed medicines; Take adequate rest; Maintain hygiene; Avoid crowded places,Use mosquito repellent; Avoid heavy physical activity; Carry emergency kit,Moderate
Sleep Apnea,Moderate,Antimalarial; Antivirals; Paracetamol,Stay hydrated; Carry prescribed medicines; Wear protective mask; Take adequate rest,Avoid allergens; Follow medication schedule; Avoid heavy physical activity,Low
Anxiety,Low,Antibiotics; Paracetamol; Ibuprofen; ORS,Take adequate rest; Wear protective mask; Monitor symptoms regularly; Stay hydrated,Follow medication schedule; Avoid allergens; Use mosquito repellent,High
Arthritis,Low,Antibiotics; Antihistamine; Bronchodilator; Antimalarial,Avoid extreme temperatures; Avoid crowded places; Monitor symptoms regularly; Wear protective mask,Avoid heavy physical activity; Follow medication schedule; Carry emergency kit,High
Motion Sickness,High,Antivirals; Bronchodilator; Ibuprofen,Carry prescribed medicines; Stay hydrated; Maintain hygiene; Wear protective mask,Use mosquito repellent; Carry emergency kit; Follow medication schedule,High
Thyroid Disorder,Moderate,Pain Reliever; Antimalarial; Paracetamol; Insulin,Take adequate rest; Monitor symptoms regularly; Wear protective mask; Maintain hygiene,Follow medication schedule; Carry emergency kit; Avoid heavy physical activity,Low
Vitamin D Deficiency,Low,Steroids; Bronchodilator,Wear protective mask; Monitor symptoms regularly; Avoid extreme temperatures; Stay hydrated,Avoid allergens; Consult doctor before travel; Use mosquito repellent,High
Multiple Sclerosis,Moderate,Antibiotics; Steroids; Bronchodilator; Antihistamine,Stay hydrated; Maintain hygiene; Carry prescribed medicines; Avoid crowded places,Use mosquito repellent; Follow medication schedule; Carry emergency kit,Critical
Hepatitis,Moderate,Insulin; Paracetamol,Carry prescribed medicines; Wear protective mask; Avoid extreme temperatures; Monitor symptoms regularly,Use mosquito repellent; Avoid allergens; Carry emergency kit,High
Skin Infection,High,Insulin; Paracetamol,Avoid crowded places; Maintain hygiene; Avoid extreme temperatures; Monitor symptoms regularly,Consult doctor before travel; Use mosquito repellent; Avoid heavy physical activity,Critical
Pancreatitis,Moderate,ORS; Antibiotics; Insulin,Wear protective mask; Carry prescribed medicines; Avoid crowded places; Maintain hygiene,Avoid allergens; Follow medication schedule; Consult doctor before travel,Moderate
Vitamin D Deficiency,Low,Paracetamol; Steroids; ORS; Bronchodilator,Maintain hygiene; Avoid extreme temperatures; Take adequate rest; Avoid crowded places,Use mosquito repellent; Carry emergency kit; Follow medication schedule,Low
Osteoporosis,Low,Antivirals; Antihistamine; Steroids,Maintain hygiene; Stay hydrated; Monitor symptoms regularly; Take adequate rest,Carry emergency kit; Consult doctor before travel; Follow medication schedule,High
Bronchitis,Low,Pain Reliever; Steroids; Insulin; Bronchodilator,Avoid crowded places; Take adequate rest; Maintain hygiene; Avoid extreme temperatures,Avoid heavy physical activity; Carry emergency kit; Consult doctor before travel,Critical
Hypertension,Moderate,Insulin; Antihistamine,Maintain hygiene; Monitor symptoms regularly; Avoid extreme temperatures; Carry prescribed medicines,Avoid heavy physical activity; Carry emergency kit; Use mosquito repellent,High
Ulcer,Moderate,Antimalarial; Paracetamol; Bronchodilator,Avoid extreme temperatures; Stay hydrated; Monitor symptoms regularly; Avoid crowded places,Consult doctor before travel; Avoid heavy physical activity; Use mosquito repellent,Low
Pneumonia,Low,Paracetamol; Pain Reliever; Antimalarial,Take adequate rest; Monitor symptoms regularly; Maintain hygiene; Avoid extreme temperatures,Follow medication schedule; Carry emergency kit; Use mosquito repellent,High
Varicose Veins,High,Ibuprofen; Antimalarial; Antivirals; Pain Reliever,Maintain hygiene; Monitor symptoms regularly; Wear protective mask; Avoid extreme temperatures,Consult doctor before travel; Avoid allergens; Avoid heavy physical activity,Low
Meningitis,Low,Antivirals; Antihistamine; Steroids,Avoid extreme temperatures; Monitor symptoms regularly; Wear protective mask; Maintain hygiene,Follow medication schedule; Avoid heavy physical activity; Carry emergency kit,Low
Multiple Sclerosis,Low,Steroids; Antimalarial,Maintain hygiene; Avoid extreme temperatures; Take adequate rest; Wear protective mask,Follow medication schedule; Avoid heavy physical activity; Consult doctor before travel,Low
Vitamin B12 Deficiency,Low,Bronchodilator; Pain Reliever; ORS,Avoid crowded places; Stay hydrated; Wear protective mask; Maintain hygiene,Use mosquito repellent; Follow medication schedule; Avoid allergens,Moderate
Alzheimer's,High,Paracetamol; Ibuprofen,Wear protective mask; Avoid extreme temperatures; Monitor symptoms regularly; Stay hydrated,Avoid allergens; Carry emergency kit; Avoid heavy physical activity,Low
Cold,Low,Bronchodilator; Paracetamol,Avoid extreme temperatures; Avoid crowded places; Monitor symptoms regularly; Take adequate rest,Avoid allergens; Avoid heavy physical activity; Follow medication schedule,High
Back Pain,Moderate,Bronchodilator; Insulin; Paracetamol,Carry prescribed medicines; Take adequate rest; Wear protective mask; Avoid extreme temperatures,Follow medication schedule; Avoid heavy physical activity; Avoid allergens,Moderate
Liver Disease,Moderate,Steroids; ORS,Take adequate rest; Stay hydrated; Monitor symptoms regularly; Avoid crowded places,Carry emergency kit; Follow medication schedule; Consult doctor before travel,Moderate
Vitamin D Deficiency,Low,Antibiotics; Antimalarial; Bronchodilator; Paracetamol,Carry prescribed medicines; Maintain hygiene; Avoid crowded places; Avoid extreme temperatures,Consult doctor before travel; Avoid allergens; Carry emergency kit,Low
Scabies,Moderate,Antibiotics; Bronchodilator; Steroids,Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures; Avoid crowded places,Avoid allergens; Carry emergency kit; Consult doctor before travel,Low
Malaria,High,Pain Reliever; Antivirals,Carry prescribed medicines; Take adequate rest; Maintain hygiene; Stay hydrated,Avoid heavy physical activity; Use mosquito repellent; Carry emergency kit,Low
Back Pain,Moderate,Pain Reliever; Antivirals; Antimalarial,Monitor symptoms regularly; Take adequate rest; Avoid crowded places; Avoid extreme temperatures,Follow medication schedule; Consult doctor before travel; Use mosquito repellent,Low
Anemia,Moderate,Antivirals; Pain Reliever; Antimalarial; ORS,Stay hydrated; Take adequate rest; Avoid extreme temperatures; Monitor symptoms regularly,Use mosquito repellent; Consult doctor before travel; Avoid heavy physical activity,Moderate
Pancreatitis,Low,Ibuprofen; Pain Reliever,Carry prescribed medicines; Take adequate rest; Maintain hygiene; Stay hydrated,Use mosquito repellent; Consult doctor before travel; Carry emergency kit,Low
HIV/AIDS,High,Antivirals; Pain Reliever; Bronchodilator,Stay hydrated; Monitor symptoms regularly; Maintain hygiene; Avoid crowded places,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,Critical
Osteoporosis,High,Paracetamol; Antihistamine; Pain Reliever,Wear protective mask; Monitor symptoms regularly; Maintain hygiene; Avoid crowded places,Carry emergency kit; Use mosquito repellent; Avoid heavy physical activity,Moderate
Celiac Disease,Moderate,Paracetamol; Ibuprofen; Antivirals,Carry prescribed medicines; Wear protective mask; Take adequate rest; Monitor symptoms regularly,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,Moderate
Neck Pain,Moderate,Antimalarial; Antihistamine,Stay hydrated; Monitor symptoms regularly; Take adequate rest; Maintain hygiene,Follow medication schedule; Avoid allergens; Carry emergency kit,Low
Epilepsy,Moderate,Paracetamol; Steroids; Pain Reliever,Wear protective mask; Carry prescribed medicines; Maintain hygiene; Avoid extreme temperatures,Avoid heavy physical activity; Carry emergency kit; Avoid allergens,Low
Measles,High,Ibuprofen; Paracetamol,Monitor symptoms regularly; Carry prescribed medicines; Avoid crowded places; Avoid extreme temperatures,Avoid heavy physical activity; Follow medication schedule; Carry emergency kit,Critical
Kidney Disease,Low,Pain Reliever; Paracetamol,Monitor symptoms regularly; Stay hydrated; Carry prescribed medicines; Avoid extreme temperatures,Avoid allergens; Use mosquito repellent; Consult doctor before travel,Low
Heart Disease,High,Antimalarial; Pain Reliever; Bronchodilator,Avoid extreme temperatures; Stay hydrated; Wear protective mask; Carry prescribed medicines,Carry emergency kit; Avoid heavy physical activity; Follow medication schedule,Critical
Diabetes,High,Ibuprofen; Pain Reliever; ORS,Stay hydrated; Avoid extreme temperatures; Take adequate rest; Monitor symptoms regularly,Avoid allergens; Use mosquito repellent; Consult doctor before travel,Moderate
HIV/AIDS,High,ORS; Antibiotics,Avoid extreme temperatures; Avoid crowded places; Stay hydrated; Take adequate rest,Follow medication schedule; Use mosquito repellent; Avoid allergens,Moderate
Appendicitis,Low,Bronchodilator; Paracetamol,Carry prescribed medicines; Monitor symptoms regularly; Wear protective mask; Avoid crowded places,Carry emergency kit; Avoid heavy physical activity; Consult doctor before travel,High
Astigmatism,Moderate,Antihistamine; ORS; Antivirals,Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures; Carry prescribed medicines,Avoid allergens; Carry emergency kit; Follow medication schedule,High
Asthma,Moderate,Bronchodilator; Antihistamine; Insulin; Ibuprofen,Monitor symptoms regularly; Wear protective mask; Avoid crowded places; Take adequate rest,Avoid heavy physical activity; Carry emergency kit; Consult doctor before travel,Moderate
Skin Infection,High,Steroids; ORS,Maintain hygiene; Stay hydrated; Monitor symptoms regularly; Carry prescribed medicines,Carry emergency kit; Avoid allergens; Use mosquito repellent,Critical
Tuberculosis,Low,Pain Reliever; Bronchodilator,Take adequate rest; Maintain hygiene; Stay hydrated; Monitor symptoms regularly,Avoid heavy physical activity; Use mosquito repellent; Avoid allergens,Critical
Parkinson's Disease,Moderate,Antivirals; Bronchodilator,Stay hydrated; Avoid extreme temperatures; Maintain hygiene; Monitor symptoms regularly,Consult doctor before travel; Carry emergency kit; Follow medication schedule,High
Bronchial Infection,High,Antibiotics; Antivirals; ORS,Take adequate rest; Maintain hygiene; Stay hydrated; Carry prescribed medicines,Avoid heavy physical activity; Follow medication schedule; Consult doctor before travel,Critical
Scabies,Low,Steroids; ORS,Avoid crowded places; Maintain hygiene; Avoid extreme temperatures; Wear protective mask,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,Moderate
Flu,Low,Insulin; Paracetamol; Antibiotics; ORS,Stay hydrated; Take adequate rest; Avoid extreme temperatures; Wear protective mask,Avoid allergens; Avoid heavy physical activity; Use mosquito repellent,Moderate
Gastritis,Moderate,Antimalarial; Paracetamol,Wear protective mask; Avoid extreme temperatures; Monitor symptoms regularly; Carry prescribed medicines,Avoid allergens; Avoid heavy physical activity; Use mosquito repellent,Moderate
Rabies,High,Steroids; Antibiotics,Avoid crowded places; Monitor symptoms regularly; Carry prescribed medicines; Stay hydrated,Carry emergency kit; Avoid allergens; Use mosquito repellent,Moderate
Hypertension,Low,Antimalarial; Ibuprofen,Monitor symptoms regularly; Wear protective mask; Take adequate rest; Maintain hygiene,Follow medication schedule; Carry emergency kit; Use mosquito repellent,Low
Bronchitis,High,Antimalarial; Antihistamine; Insulin; Ibuprofen,Take adequate rest; Stay hydrated; Carry prescribed medicines; Avoid extreme temperatures,Carry emergency kit; Avoid heavy physical activity; Follow medication schedule,Critical
Dengue,Low,Antivirals; Antimalarial,Take adequate rest; Avoid crowded places; Carry prescribed medicines; Avoid extreme temperatures,Avoid allergens; Follow medication schedule; Avoid heavy physical activity,Moderate
Stroke,Low,Insulin; Antivirals; Bronchodilator,Maintain hygiene; Stay hydrated; Monitor symptoms regularly; Avoid extreme temperatures,Avoid allergens; Use mosquito repellent; Carry emergency kit,High
Lyme Disease,Low,Insulin; Paracetamol; Antihistamine,Monitor symptoms regularly; Avoid extreme temperatures; Stay hydrated; Take adequate rest,Carry emergency kit; Use mosquito repellent; Consult doctor before travel,Critical
HIV/AIDS,High,Antibiotics; Antimalarial,Wear protective mask; Stay hydrated; Carry prescribed medicines; Maintain hygiene,Avoid allergens; Carry emergency kit; Use mosquito repellent,High
Cancer,Moderate,Pain Reliever; ORS; Insulin,Take adequate rest; Wear protective mask; Monitor symptoms regularly; Carry prescribed medicines,Consult doctor before travel; Follow medication schedule; Carry emergency kit,Critical
Food Poisoning,Low,Antihistamine; Steroids,Take adequate rest; Carry prescribed medicines; Stay hydrated; Avoid extreme temperatures,Use mosquito repellent; Follow medication schedule; Avoid heavy physical activity,High
Kidney Disease,High,Pain Reliever; Insulin; Bronchodilator,Avoid extreme temperatures; Maintain hygiene; Stay hydrated; Monitor symptoms regularly,Avoid allergens; Avoid heavy physical activity; Follow medication schedule,Critical
